Regional_Grouping,Region,Region_Code,Area,Area_Code_M49,Type
World_(total)_by_MDG_regions,World (total) by MDG regions,1,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Region
World_(total)_by_MDG_regions,World (total) by MDG regions,1,Developing regions,515,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Serbia,688,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,San Marino,674,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Saint Pierre and Miquelon,666,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Russian Federation,643,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Romania,642,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Portugal,620,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Poland,616,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Norway,578,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Norfolk Island,574,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,New Zealand,554,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Netherlands (Kingdom of the),528,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Montenegro,499,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Monaco,492,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Republic of Moldova,498,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Malta,470,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,North Macedonia,807,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Slovakia,703,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Slovenia,705,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Spain,724,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Svalbard and Jan Mayen Islands,744,Country
World_(total)_by_MDG_regions,Developing regions,515,Oceania (exc. Australia and New Zealand),543,Region
World_(total)_by_MDG_regions,Developing regions,515,Latin America and the Caribbean,419,Region
World_(total)_by_MDG_regions,Developing regions,515,South-Eastern Asia,35,Region
World_(total)_by_MDG_regions,Developing regions,515,Southern Asia,34,Region
World_(total)_by_MDG_regions,Developing regions,515,Sub-Saharan Africa (inc. Sudan),738,Region
World_(total)_by_MDG_regions,Developing regions,515,Eastern Asia (excluding Japan),518,Region
World_(total)_by_MDG_regions,Developing regions,515,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Luxembourg,442,Country
World_(total)_by_MDG_regions,Developing regions,515,Caucasus and Central Asia,135,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Sark,680,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Channel Islands,830,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,United States of America,840,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,United Kingdom of Great Britain and Northern Ireland,826,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Ukraine,804,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Switzerland,756,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Sweden,752,Country
World_(total)_by_MDG_regions,Developing regions,515,Southern Asia (excluding India),127,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Lithuania,440,Country
World_(total)_by_MDG_regions,Developing regions,515,Northern Africa (exc. Sudan),746,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Latvia,428,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Czechia,203,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Cyprus,196,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Croatia,191,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Cocos (Keeling) Islands,166,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Christmas Island,162,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Canada,124,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Bulgaria,100,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Denmark,208,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Bosnia and Herzegovina,70,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Belgium,56,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Belarus,112,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Austria,40,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Australia,36,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Albania,8,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Åland Islands,248,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Liechtenstein,438,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Bermuda,60,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Estonia,233,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Andorra,20,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Finland,246,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Faroe Islands,234,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Japan,392,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Israel,376,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Isle of Man,833,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Ireland,372,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Iceland,352,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Hungary,348,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Italy,380,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Heard Island and McDonald Islands,334,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,France,250,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Holy See,336,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Germany,276,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Gibraltar,292,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Jersey,832,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Greece,300,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Greenland,304,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Guernsey,831,Country
World_(total)_by_MDG_regions,Central America,13,Panama,591,Country
World_(total)_by_MDG_regions,Caribbean,29,Curaçao,531,Country
World_(total)_by_MDG_regions,Caribbean,29,Saint Barthélemy,652,Country
World_(total)_by_MDG_regions,Caribbean,29,Saint Martin (French Part),663,Country
World_(total)_by_MDG_regions,Caribbean,29,Saint Vincent and the Grenadines,670,Country
World_(total)_by_MDG_regions,Caribbean,29,Sint Maarten (Dutch part),534,Country
World_(total)_by_MDG_regions,Caribbean,29,United States Virgin Islands,850,Country
World_(total)_by_MDG_regions,Central America,13,Belize,84,Country
World_(total)_by_MDG_regions,Central America,13,Costa Rica,188,Country
World_(total)_by_MDG_regions,Central America,13,El Salvador,222,Country
World_(total)_by_MDG_regions,Central America,13,Honduras,340,Country
World_(total)_by_MDG_regions,Central America,13,Mexico,484,Country
World_(total)_by_MDG_regions,Central America,13,Nicaragua,558,Country
World_(total)_by_MDG_regions,Caribbean,29,"Bonaire, Sint Eustatius and Saba",535,Country
World_(total)_by_MDG_regions,South America,5,Argentina,32,Country
World_(total)_by_MDG_regions,Central America,13,Guatemala,320,Country
World_(total)_by_MDG_regions,Caribbean,29,Martinique,474,Country
World_(total)_by_MDG_regions,Caribbean,29,Trinidad and Tobago,780,Country
World_(total)_by_MDG_regions,Caribbean,29,Cayman Islands,136,Country
World_(total)_by_MDG_regions,South America,5,Bolivia (Plurinational State of),68,Country
World_(total)_by_MDG_regions,Caribbean,29,Cuba,192,Country
World_(total)_by_MDG_regions,Caribbean,29,Dominica,212,Country
World_(total)_by_MDG_regions,Caribbean,29,Dominican Republic,214,Country
World_(total)_by_MDG_regions,Caribbean,29,Grenada,308,Country
World_(total)_by_MDG_regions,Caribbean,29,Turks and Caicos Islands,796,Country
World_(total)_by_MDG_regions,Caribbean,29,Guadeloupe,312,Country
World_(total)_by_MDG_regions,Caribbean,29,Jamaica,388,Country
World_(total)_by_MDG_regions,Caribbean,29,Montserrat,500,Country
World_(total)_by_MDG_regions,Caribbean,29,Netherlands Antilles  [former],530,Country
World_(total)_by_MDG_regions,Caribbean,29,Puerto Rico,630,Country
World_(total)_by_MDG_regions,Caribbean,29,Saint Kitts and Nevis,659,Country
World_(total)_by_MDG_regions,Caribbean,29,Saint Lucia,662,Country
World_(total)_by_MDG_regions,Caribbean,29,Haiti,332,Country
World_(total)_by_MDG_regions,South America,5,Bouvet Island,74,Country
World_(total)_by_MDG_regions,Caribbean,29,Barbados,52,Country
World_(total)_by_MDG_regions,South America,5,Chile,152,Country
World_(total)_by_MDG_regions,South America,5,Brazil,76,Country
World_(total)_by_MDG_regions,Caribbean,29,British Virgin Islands,92,Country
World_(total)_by_MDG_regions,Caribbean,29,Anguilla,660,Country
World_(total)_by_MDG_regions,Caribbean,29,Antigua and Barbuda,28,Country
World_(total)_by_MDG_regions,Caribbean,29,Aruba,533,Country
World_(total)_by_MDG_regions,South America,5,Venezuela (Bolivarian Republic of),862,Country
World_(total)_by_MDG_regions,South America,5,Uruguay,858,Country
World_(total)_by_MDG_regions,South America,5,Suriname,740,Country
World_(total)_by_MDG_regions,Caribbean,29,Bahamas,44,Country
World_(total)_by_MDG_regions,South America,5,Peru,604,Country
World_(total)_by_MDG_regions,South America,5,Paraguay,600,Country
World_(total)_by_MDG_regions,South America,5,Guyana,328,Country
World_(total)_by_MDG_regions,South America,5,French Guiana,254,Country
World_(total)_by_MDG_regions,South America,5,Falkland Islands (Malvinas),238,Country
World_(total)_by_MDG_regions,South America,5,Ecuador,218,Country
World_(total)_by_MDG_regions,South America,5,Colombia,170,Country
World_(total)_by_MDG_regions,South America,5,South Georgia and the South Sandwich Islands,239,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Indonesia,360,Country
World_(total)_by_MDG_regions,Southern Asia,34,Nepal,524,Country
World_(total)_by_MDG_regions,Southern Asia,34,Pakistan,586,Country
World_(total)_by_MDG_regions,Southern Asia,34,Sri Lanka,144,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Brunei Darussalam,96,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Cambodia,116,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Lao People's Democratic Republic,418,Country
World_(total)_by_MDG_regions,Latin America and the Caribbean,419,Caribbean,29,Region
World_(total)_by_MDG_regions,South-Eastern Asia,35,Myanmar,104,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Philippines,608,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Singapore,702,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Thailand,764,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Timor-Leste,626,Country
World_(total)_by_MDG_regions,South-Eastern Asia,35,Viet Nam,704,Country
World_(total)_by_MDG_regions,Latin America and the Caribbean,419,South America,5,Region
World_(total)_by_MDG_regions,South-Eastern Asia,35,Malaysia,458,Country
World_(total)_by_MDG_regions,Latin America and the Caribbean,419,Central America,13,Region
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Pitcairn,612,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Cook Islands,184,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,United States Minor Outlying Islands,581,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Tuvalu,798,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Tonga,776,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Tokelau,772,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Solomon Islands,90,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Samoa,882,Country
World_(total)_by_MDG_regions,Southern Asia,34,Maldives,462,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Papua New Guinea,598,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Palau,585,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Northern Mariana Islands,580,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Niue,570,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,New Caledonia,540,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Nauru,520,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Micronesia (Federated States of),583,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Marshall Islands,584,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Kiribati,296,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Guam,316,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,French Polynesia,258,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Fiji,242,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,American Samoa,16,Country
World_(total)_by_MDG_regions,Southern Asia,34,Iran (Islamic Republic of),364,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Liberia,430,Country
World_(total)_by_MDG_regions,Southern Asia,34,Bhutan,64,Country
World_(total)_by_MDG_regions,Eastern Asia (excluding Japan),518,"China, Macao Special Administrative Region",446,Country
World_(total)_by_MDG_regions,Eastern Asia (excluding Japan),518,Eastern Asia (excluding Japan and China),223,Region
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Angola,24,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Benin,204,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Botswana,72,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,British Indian Ocean Territory,86,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Burkina Faso,854,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Burundi,108,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Cameroon,120,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Cabo Verde,132,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Central African Republic,140,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Chad,148,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Comoros,174,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Congo,178,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Democratic Republic of the Congo,180,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Côte d'Ivoire,384,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Djibouti,262,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Equatorial Guinea,226,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Eritrea,232,Country
World_(total)_by_MDG_regions,Eastern Asia (excluding Japan),518,"China, Hong Kong Special Administrative Region",344,Country
World_(total)_by_MDG_regions,Southern Asia,34,India,356,Country
World_(total)_by_MDG_regions,Eastern Asia (excluding Japan),518,China,156,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,United Arab Emirates,784,Country
World_(total)_by_MDG_regions,Caucasus and Central Asia,135,Armenia,51,Country
World_(total)_by_MDG_regions,Caucasus and Central Asia,135,Azerbaijan,31,Country
World_(total)_by_MDG_regions,Caucasus and Central Asia,135,Georgia,268,Country
World_(total)_by_MDG_regions,Caucasus and Central Asia,135,Kazakhstan,398,Country
World_(total)_by_MDG_regions,Caucasus and Central Asia,135,Kyrgyzstan,417,Country
World_(total)_by_MDG_regions,Caucasus and Central Asia,135,Tajikistan,762,Country
World_(total)_by_MDG_regions,Caucasus and Central Asia,135,Turkmenistan,795,Country
World_(total)_by_MDG_regions,Caucasus and Central Asia,135,Uzbekistan,860,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Bahrain,48,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Iraq,368,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Jordan,400,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Kuwait,414,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Lebanon,422,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Oman,512,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,State of Palestine,275,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Qatar,634,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Saudi Arabia,682,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Syrian Arab Republic,760,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Türkiye,792,Country
World_(total)_by_MDG_regions,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Yemen,887,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,French Southern Territories,260,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Ethiopia,231,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Gambia,270,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Sierra Leone,694,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Somalia,706,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,South Africa,710,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,South Sudan,728,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Sudan,729,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Eswatini,748,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,United Republic of Tanzania,834,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Togo,768,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Uganda,800,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Seychelles,690,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Zambia,894,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Ascension,655,Country
World_(total)_by_MDG_regions,Northern Africa (exc. Sudan),746,Algeria,12,Country
World_(total)_by_MDG_regions,Northern Africa (exc. Sudan),746,Egypt,818,Country
World_(total)_by_MDG_regions,Northern Africa (exc. Sudan),746,Libya,434,Country
World_(total)_by_MDG_regions,Northern Africa (exc. Sudan),746,Morocco,504,Country
World_(total)_by_MDG_regions,Northern Africa (exc. Sudan),746,Tunisia,788,Country
World_(total)_by_MDG_regions,Northern Africa (exc. Sudan),746,Western Sahara,732,Country
World_(total)_by_MDG_regions,Southern Asia,34,Afghanistan,4,Country
World_(total)_by_MDG_regions,Southern Asia,34,Bangladesh,50,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Zimbabwe,716,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Senegal,686,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Sao Tome and Principe,678,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Saint Helena,654,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Ghana,288,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Guinea,324,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Guinea-Bissau,624,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Kenya,404,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Lesotho,426,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Vanuatu,548,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Madagascar,450,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Malawi,454,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Mali,466,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Mauritania,478,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Mauritius,480,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Mayotte,175,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Mozambique,508,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Namibia,516,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Niger,562,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Nigeria,566,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Réunion,638,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Rwanda,646,Country
World_(total)_by_MDG_regions,Sub-Saharan Africa (inc. Sudan),738,Gabon,266,Country
World_(total)_by_MDG_regions,Oceania (exc. Australia and New Zealand),543,Wallis and Futuna Islands,876,Country
World_(total)_by_MDG_regions,Eastern Asia (excluding Japan and China),223,Mongolia,496,Country
World_(total)_by_MDG_regions,Eastern Asia (excluding Japan and China),223,Republic of Korea,410,Country
World_(total)_by_MDG_regions,Eastern Asia (excluding Japan and China),223,Democratic People's Republic of Korea,408,Country
